step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad),direction
35,test,0,0.5670997351408005,0.32743349701333563,20.829718110800997,-0.34495293212486194,-1.364434667800811,"(0, 100, 0)"
36,test,0,0.17569242417812347,0.32743349701333563,20.836342002027976,-0.3764892916043895,-1.3618721712431083,"(0, 100, 0)"
37,test,0,0.3237269669771195,0.32743349701333563,20.844219940278148,-0.4159217089336074,-1.386811748504562,"(0, 100, 0)"
38,test,0,0.3105715662240982,0.32743349701333563,20.847295739278668,-0.45555955889839544,-1.4166772708179434,"(0, 100, 0)"
39,test,0,0.3153521567583084,0.32743349701333563,20.849823292515158,-0.4955921845424437,-1.4417313091518318,"(0, 100, 0)"
40,test,0,0.26436896622180944,0.32743349701333563,20.85212464489932,-0.5350112499560602,-1.462071314254793,"(0, 100, 0)"
41,test,0,0.2665967792272568,0.3535826343215648,20.854683998889765,-0.5720445347297205,-1.4918687554223942,"(0, 100, 0)"
42,test,0,0.18920864164829249,0.3535826343215648,20.857065500389478,-0.6107893077741633,-1.513336998840458,"(0, 100, 0)"
43,test,0,0.3079342693090439,0.3535826343215648,20.8588429280521,-0.6505240221693134,-1.5406438771715045,"(0, 100, 0)"
44,test,0,0.3315407186746597,0.3535826343215648,20.859395255567623,-0.6906595153781322,-1.573814753892996,"(0, 100, 0)"
45,test,0,0.3230485767126084,0.3535826343215648,20.858623620407997,-0.7308694697460304,-1.6050717031573252,"(0, 100, 0)"
46,test,0,0.3283834308385849,0.3535826343215648,20.856892513924606,-0.7700344665733216,-1.6267852596136814,"(0, 100, 0)"
47,test,0,0.3460727408528328,0.39740481731996274,20.85405909075987,-0.810100438535221,-1.655195574813489,"(0, 100, 0)"
48,test,0,0.3672362342476845,0.39740481731996274,20.850213122561073,-0.8489857486619433,-1.6825293236195642,"(0, 100, 0)"
49,test,0,0.37027666717767715,0.39740481731996274,20.845348727520207,-0.8886503287358175,-1.7021971466773154,"(0, 100, 0)"
50,test,0,0.34345407132059336,0.39740481731996274,20.83984621497874,-0.928216454189458,-1.713753497838566,"(0, 100, 0)"
